"Tag Code","Site Name","Release Date MMDDYYYY","Species Code","Species Name","Run Code","Run Name","Rear Type Code","Rear Type Name","Brood Year YYYY","First Obs Date Max","Last Obs Date Min"
"3DD.003D39F5FF","LNF - Leavenworth NFH Adult Ladder","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/22/2022","06/27/2022"
"3DD.003D3A010E","LNF - Leavenworth NFH Adult Ladder","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/22/2022","06/27/2022"
"3DD.003D3A0693","LNF - Leavenworth NFH Adult Ladder","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/22/2022","06/22/2022"
"3DD.003D44060E","ICL - Lower Icicle Instream Array","4/20/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/22/2022","06/22/2022"
"3DD.003D4406F2","ICL - Lower Icicle Instream Array","4/20/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/22/2022","06/22/2022"
"3DD.003D70DBD5","LNF - Leavenworth NFH Adult Ladder","4/16/2021","1","Chinook","1","Spring","H","Hatchery Reared","2019","06/22/2022","06/24/2022"
"3DD.003D70DD8D","LNF - Leavenworth NFH Adult Ladder","4/16/2021","1","Chinook","1","Spring","H","Hatchery Reared","2019","06/22/2022","06/27/2022"
"3DD.003D70E9B4","LNF - Leavenworth NFH Adult Ladder","4/16/2021","1","Chinook","1","Spring","H","Hatchery Reared","2019","06/22/2022","06/22/2022"
"3DD.003D70EDBF","LNF - Leavenworth NFH Adult Ladder","4/16/2021","1","Chinook","1","Spring","H","Hatchery Reared","2019","06/22/2022","06/26/2022"
"3DD.003D747DAA","ICL - Lower Icicle Instream Array","4/16/2021","1","Chinook","1","Spring","H","Hatchery Reared","2019","06/22/2022","06/27/2022"
"3DD.003D39D0A0","ICL - Lower Icicle Instream Array","4/20/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/21/2022","06/21/2022"
"3DD.003D39E470","ICL - Lower Icicle Instream Array","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/21/2022","06/21/2022"
"3DD.003D39EA1F","LNF - Leavenworth NFH Adult Ladder","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/21/2022","06/23/2022"
"3DD.003D4404F6","ICL - Lower Icicle Instream Array","4/20/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/21/2022","06/28/2022"
"3DD.003D4405A2","LNF - Leavenworth NFH Adult Ladder","4/20/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/21/2022","06/26/2022"
"3DD.003D440645","ICL - Lower Icicle Instream Array","4/20/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/21/2022","06/21/2022"
"3DD.003D70DBD5","ICL - Lower Icicle Instream Array","4/16/2021","1","Chinook","1","Spring","H","Hatchery Reared","2019","06/21/2022","06/21/2022"
"3DD.003D70DBD6","ICL - Lower Icicle Instream Array","4/16/2021","1","Chinook","1","Spring","H","Hatchery Reared","2019","06/21/2022","06/21/2022"
"3DD.003D70DD8D","ICL - Lower Icicle Instream Array","4/16/2021","1","Chinook","1","Spring","H","Hatchery Reared","2019","06/21/2022","06/21/2022"
"3DD.003D70E589","ICL - Lower Icicle Instream Array","4/16/2021","1","Chinook","1","Spring","H","Hatchery Reared","2019","06/21/2022","06/21/2022"
"3DD.003D70E9B4","ICL - Lower Icicle Instream Array","4/16/2021","1","Chinook","1","Spring","H","Hatchery Reared","2019","06/21/2022","06/21/2022"
